,name,type,desc,race,archetype,image_url,views
27,A World Shrouded in Darkness,Spell Card,"(This card is always treated as a ""Ninjitsu Art"" card.)
When your ""Ninja"" monster inflicts battle damage to your opponent: You can target 1 card they control; destroy it. If this face-up card in its owner's Field Zone leaves the field by an opponent's card effect, and is sent to your GY or banished: You can target any number of ""Ninja"" monsters with different names in your GY; Special Summon them in face-down Defense Position.",Field,Ninjitsu Art,https://images.ygoprodeck.com/images/cards/9597987.jpg,529
32,A.I. Contact,Spell Card,"If ""Ignister A.I.Land"" is in your Field Zone: Reveal 1 ""Ignister A.I.Land"" in your hand; place it on the bottom of the Deck, and if you do, draw 3 cards. You can only activate 1 ""A.I. Contact"" per turn.",Normal,@Ignister,https://images.ygoprodeck.com/images/cards/10493654.jpg,46718
33,A.I. Love Fusion,Spell Card,"Fusion Summon 1 Cyberse Fusion Monster from your Extra Deck, using monsters from your hand or field as Fusion Material. If you use your ""@Ignister"" monster as Fusion Material, you can also use 1 Link Monster your opponent controls as material. You can only activate 1 ""A.I. Love Fusion"" per turn.",Normal,@Ignister,https://images.ygoprodeck.com/images/cards/59332125.jpg,68713
34,A.I. Meet You,Spell Card,"Reveal 1 Cyberse monster with 2300 ATK in your hand or Extra Deck, and add 1 ""@Ignister"" monster with the same Attribute from your Deck to your hand. During the End Phase of this turn, take 2300 damage if you did not Special Summon the revealed monster, or a monster with the same name, after you resolved this effect. You cannot activate monster effects for the rest of this turn after this card resolves, except Cyberse monsters. You can only activate 1 ""A.I. Meet You"" per turn.",Normal,A.I.,https://images.ygoprodeck.com/images/cards/6552971.jpg,79385
36,A.I.'s Ritual,Spell Card,"This card can be used to Ritual Summon any Cyberse Ritual Monster. You must also Tribute ""@Ignister"" monsters from your hand or field whose total Levels equal or exceed the Level of the Ritual Monster you Ritual Summon. If you control an ""@Ignister"" monster when this effect is activated, you can also use ""@Ignister"" monster(s) in your GY, by banishing them.",Ritual,@Ignister,https://images.ygoprodeck.com/images/cards/85327820.jpg,52852
39,A.I.dle Reborn,Spell Card,"Target 1 ""@Ignister"" monster in your GY; Special Summon it, also you cannot Special Summon monsters for the rest of this turn after this card resolves, except Cyberse monsters. When an attack is declared involving 2 monsters: You can banish this card from your GY and 1 card from your hand, then target 1 of your ""A.I."" Spells/Traps that is banished or in your GY, except ""A.I.dle Reborn""; add that card to your hand. You can only use each effect of ""A.I.dle Reborn"" once per turn.",Quick-Play,@Ignister,https://images.ygoprodeck.com/images/cards/22933016.jpg,134913
42,ALERT!,Spell Card,"(This card is always treated as a ""Rescue-ACE"" card.)
Add 1 ""Rescue-ACE"" monster from your GY to your hand, or, if you control ""Rescue-ACE Hydrant"", you can add 1 ""Rescue-ACE"" monster from your Deck to your hand instead. You can only activate 1 ""ALERT!"" per turn.",Quick-Play,Rescue-ACE,https://images.ygoprodeck.com/images/cards/26372118.jpg,675
47,Abomination's Prison,Spell Card,"Add 1 ""Unchained"" card from your Deck to your hand. If this Set card is destroyed by card effect: You can Special Summon 1 ""Unchained"" monster from your Deck. You can only use each effect of ""Abomination's Prison"" once per turn.",Normal,Unchained,https://images.ygoprodeck.com/images/cards/27412542.jpg,181744
51,Absorb Fusion,Spell Card,"Add 1 ""Gem-Knight"" card from your Deck to your hand, then you can apply this effect.
● Fusion Summon 1 ""Gem-Knight"" Fusion Monster from your Extra Deck, by banishing Fusion Materials listed on it from your hand or your side of the field.
You can only activate 1 ""Absorb Fusion"" per turn. You cannot Special Summon monsters the turn you activate this card, except ""Gem-Knight"" monsters.",Normal,Gem-,https://images.ygoprodeck.com/images/cards/71422989.jpg,54041
72,Abyss Actors' Dress Rehearsal,Spell Card,"At the start of your Main Phase 1: Add 1 ""Abyss Actor"" card and 1 ""Abyss Script"" Spell from your Deck to your hand, also you cannot Pendulum Summon monsters for the rest of this turn after this card resolves, except ""Abyss Actor"" monsters.",Normal,Abyss Actor,https://images.ygoprodeck.com/images/cards/6004133.jpg,391
76,Abyss Playhouse - Fantastic Theater,Spell Card,"You can reveal 1 ""Abyss Actor"" Pendulum Monster and 1 ""Abyss Script"" Spell in your hand; add 1 ""Abyss Script"" Spell from your Deck to your hand, with a different name than that revealed Spell. While you control a Pendulum Summoned ""Abyss Actor"" Pendulum Monster, any monster effect activated by your opponent becomes ""Destroy 1 Set Spell/Trap your opponent controls"". You can only use each effect of ""Abyss Playhouse - Fantastic Theater"" once per turn.",Field,Abyss Actor,https://images.ygoprodeck.com/images/cards/77297908.jpg,51277
77,Abyss Prop - Wild Wagon,Spell Card,"The first time each ""Abyss Actor"" monster you control would be destroyed by battle each turn, it is not destroyed. Once per turn: You can target 1 ""Abyss Actor"" monster you control; your opponent cannot target it with card effects until the end of their turn (even if this card leaves the field). If this Set card in its owner's control is destroyed by an opponent's card effect, and you have a face-up ""Abyss Actor"" Pendulum Monster in your Extra Deck: You can return all cards your opponent controls to the hand.",Continuous,Abyss Actor,https://images.ygoprodeck.com/images/cards/86578200.jpg,20305
78,Abyss Script - Abysstainment,Spell Card,"You can Tribute 1 ""Abyss Actor"" monster, then target 1 ""Abyss Script"" Spell in your GY; Set it to your field. You can use this effect of ""Abyss Script - Abysstainment"" up to twice per turn. If this Set card in its owner's control is destroyed by an opponent's card effect, and you have a face-up ""Abyss Actor"" Pendulum Monster in your Extra Deck: You can Special Summon any number of ""Abyss Actor"" Pendulum Monsters from your Deck.",Continuous,Abyss Actor,https://images.ygoprodeck.com/images/cards/70564929.jpg,40118
79,Abyss Script - Dramatic Story,Spell Card,"Target 1 ""Abyss Actor"" Pendulum Monster you control; Special Summon 1 ""Abyss Actor"" Pendulum Monster with a different name from your Deck, then either place the targeted monster in your Pendulum Zone or destroy it. If this Set card in its owner's control is destroyed by an opponent's card effect, and you have a face-up ""Abyss Actor"" Pendulum Monster in your Extra Deck: You can return up to 2 cards on the field to the hand. You can only activate 1 ""Abyss Script - Dramatic Story"" per turn.",Normal,Abyss Script,https://images.ygoprodeck.com/images/cards/33503878.jpg,241
80,Abyss Script - Fantasy Magic,Spell Card,"Target 1 ""Abyss Actor"" monster you control; this turn, every monster that battles it, but is not destroyed, returns to the hand at the end of the Damage Step. If this Set card in its owner's control is destroyed by an opponent's card effect, and you have a face-up ""Abyss Actor"" Pendulum Monster in your Extra Deck: You can target 1 card your opponent controls; place it on top of the Deck.",Normal,Abyss Actor,https://images.ygoprodeck.com/images/cards/87390798.jpg,17871
81,Abyss Script - Fire Dragon's Lair,Spell Card,"Target 1 ""Abyss Actor"" monster you control; if it destroys your opponent's monster by battle this turn, your opponent banishes 3 monsters from their Extra Deck (their choice). If this Set card in its owner's control is destroyed by an opponent's card effect, and you have a face-up ""Abyss Actor"" Pendulum Monster in your Extra Deck: You can look at your opponent's Extra Deck, also banish 1 monster from their Extra Deck. You can only use this effect of ""Abyss Script - Fire Dragon's Lair"" once per turn.",Normal,Abyss Actor,https://images.ygoprodeck.com/images/cards/50179591.jpg,33033
82,Abyss Script - Opening Ceremony,Spell Card,"Gain 500 LP for each ""Abyss Actor"" monster you control. If this Set card in its owner's control is destroyed by an opponent's card effect, and you have a face-up ""Abyss Actor"" Pendulum Monster in your Extra Deck: You can draw until you have 5 cards in your hand. You can only use each effect of ""Abyss Script - Opening Ceremony"" once per turn.",Normal,Abyss Actor,https://images.ygoprodeck.com/images/cards/23784496.jpg,36078
83,Abyss Script - Rise of the Abyss King,Spell Card,"Target face-up cards on the field, up to the number of Attack Position ""Abyss Actor"" monsters with different names you control; destroy them. If you control a Level 7 or higher ""Abyss Actor"" monster, your opponent cannot activate cards or effects in response to this card's activation. If this Set card in its owner's control is destroyed by an opponent's card effect, and you have a face-up ""Abyss Actor"" Pendulum Monster in your Extra Deck: You can add up to 2 ""Abyss Actor"" cards and/or ""Abyss Script"" Spells with different names from your Deck to your hand.",Normal,Abyss Actor,https://images.ygoprodeck.com/images/cards/13662809.jpg,47395
84,Abyss Script - Romantic Terror,Spell Card,"Return 1 ""Abyss Actor"" Pendulum Monster you control to the hand, and if you do, Special Summon from your Extra Deck in Defense Position, 1 face-up ""Abyss Actor"" Pendulum Monster with a different original name from that monster. If this Set card in its owner's control is destroyed by an opponent's card effect, and you have a face-up ""Abyss Actor"" Pendulum Monster in your Extra Deck: You can Set any number of ""Abyss Script"" Spells directly from your Deck. You can only activate 1 ""Abyss Script - Romantic Terror"" per turn.",Quick-Play,Abyss Actor,https://images.ygoprodeck.com/images/cards/41803903.jpg,22374
89,Abyss-scale of Cetus,Spell Card,"Equip only to a ""Mermail"" monster. It gains 800 ATK. When a Trap effect that was activated on your opponent's side of the field resolves, negate that effect, then send this card to the Graveyard.",Equip,Mermail,https://images.ygoprodeck.com/images/cards/19596712.jpg,33795
90,Abyss-scale of the Kraken,Spell Card,"Equip only to a ""Mermail"" monster. It gains 400 ATK. When a monster effect that was activated on your opponent's side of the field resolves, negate that effect, then send this card to the Graveyard.",Equip,Mermail,https://images.ygoprodeck.com/images/cards/8719957.jpg,36730
91,Abyss-scale of the Mizuchi,Spell Card,"Equip only to a ""Mermail"" monster. It gains 800 ATK. When a Spell effect that was activated on your opponent's side of the field resolves, negate that effect, then send this card to the Graveyard.",Equip,Mermail,https://images.ygoprodeck.com/images/cards/72932673.jpg,69999
96,Abyssal Designator,Spell Card,Pay 1000 Life Points. Declare a Type and an Attribute. Your opponent must send 1 monster with both the declared Type and Attribute from their hand or Deck to the Graveyard.,Normal,,https://images.ygoprodeck.com/images/cards/89801755.jpg,44709
100,Accellight,Spell Card,"If you control no monsters: Special Summon 1 Level 4 or lower ""Photon"" or ""Galaxy"" monster from your Deck. You can only activate 1 ""Accellight"" per turn. You cannot Normal Summon/Set during the turn you activate this card.",Normal,Photon,https://images.ygoprodeck.com/images/cards/34838437.jpg,136219
107,Acid Rain,Spell Card,Destroy all face-up Machine-Type monsters on the field.,Normal,,https://images.ygoprodeck.com/images/cards/21323861.jpg,19572
109,Acidic Downpour,Spell Card,All EARTH monsters lose 500 ATK and gain 400 DEF.,Field,,https://images.ygoprodeck.com/images/cards/35956022.jpg,19392
113,Action Magic - Double Banking,Spell Card,"Discard 1 card; this turn, if a monster you currently control destroys an opponent's monster by battle, it can make a second attack in a row. During your Main Phase, if this card is in your GY, except the turn this card was sent to the GY: You can discard 1 Spell; Set this card.",Quick-Play,,https://images.ygoprodeck.com/images/cards/35498188.jpg,27723
114,Action Magic - Full Turn,Spell Card,"This turn, double any battle damage that a player takes from battles involving 2 monsters. During your Main Phase, if this card is in your GY, except the turn this card was sent to the GY: You can discard 1 Spell; Set this card.",Quick-Play,,https://images.ygoprodeck.com/images/cards/99004583.jpg,33000
120,Adamancipator Friends,Spell Card,"Excavate the top cards of your Deck equal to the number of Rock monsters you control +5, and if you do, you can add to your hand 1 excavated Rock monster with a Level equal to or lower than the number of the excavated cards, also place the remaining cards on the bottom of your Deck in any order. For the rest of this turn after this card resolves, you cannot Special Summon monsters, except Rock monsters.",Normal,Adamancipator,https://images.ygoprodeck.com/images/cards/99927991.jpg,40906
121,Adamancipator Laputite,Spell Card,"All Rock monsters you control gain 500 ATK/DEF. Once per turn, during your Main Phase: You can take up to 5 ""Adamancipator"" cards from your Deck and place them on top of your Deck in any order.",Field,Adamancipator,https://images.ygoprodeck.com/images/cards/46552140.jpg,60795
129,Adamancipator Signs,Spell Card,"Target 1 Rock monster in your GY; Special Summon it in Defense Position, then, if you Special Summoned an ""Adamancipator"" monster by this effect, you can take 1 Level 4 or lower Rock monster from your Deck and place it on top of your Deck.",Normal,Adamancipator,https://images.ygoprodeck.com/images/cards/72957245.jpg,227240
130,Additional Mirror Level 7,Spell Card,"If a Level 7 monster(s) is Special Summoned to your field: Send 2 ""Additional Mirror Level 7"" from your hand and/or Deck to the GY, then target 1 of those monsters; you can only Special Summon from the Extra Deck once for the rest of this turn after this card resolves, also Special Summon 2 monsters with that name from your Deck, then take damage equal to the total original ATK of the monsters Special Summoned by this effect.",Quick-Play,,https://images.ygoprodeck.com/images/cards/23812568.jpg,0
135,Advance Draw,Spell Card,Tribute 1 face-up Level 8 or higher monster you control; draw 2 cards.,Normal,,https://images.ygoprodeck.com/images/cards/51630558.jpg,127437
136,Advance Force,Spell Card,You can Tribute 1 Level 5 or higher monster to Tribute Summon a Level 7 or higher monster.,Continuous,,https://images.ygoprodeck.com/images/cards/38589847.jpg,22786
137,Advance Zone,Spell Card,"Once per turn, during the End Phase of any turn in which you Tribute Summoned a monster(s): You can apply these effects, in sequence, based on the number of monsters you Tributed for Tribute Summons this turn.
● 1 or more: Destroy 1 Set card your opponent controls.
● 2 or more: Draw 1 card.
● 3 or more: Add 1 monster from your Graveyard to your hand.",Continuous,,https://images.ygoprodeck.com/images/cards/76224717.jpg,17008
145,Advanced Dark,Spell Card,"All ""Crystal Beast"" monsters on the field and in the GY become DARK. If an ""Ultimate Crystal"" monster attacks, negate the effects of the attack target during that Battle Phase. During damage calculation, if a ""Crystal Beast"" monster you control battles and you would take damage: You can send 1 ""Crystal Beast"" monster from your Deck to the GY; you take no battle damage from that battle.",Field,Crystal Beast,https://images.ygoprodeck.com/images/cards/12644061.jpg,58811
146,Advanced Heraldry Art,Spell Card,"Target 2 ""Heraldic Beast"" monsters in your Graveyard; Special Summon both those targets. Immediately after this card resolves, Xyz Summon 1 Xyz Monster using those 2 monsters only.",Normal,Heraldic,https://images.ygoprodeck.com/images/cards/61314842.jpg,31471
147,Advanced Ritual Art,Spell Card,This card is used to Ritual Summon any 1 Ritual Monster. You must also send Normal Monsters from your Deck to the GY whose total Levels equal the Level of that Ritual Monster.,Ritual,,https://images.ygoprodeck.com/images/cards/46052429.jpg,570186
155,After the Storm,Spell Card,If there are no other cards on the field: Target 1 WATER or WIND monster in your Graveyard; add that target to your hand.,Normal,,https://images.ygoprodeck.com/images/cards/82263578.jpg,12949
156,After the Struggle,Spell Card,This card can only be activated during Main Phase 1. All monsters on both sides of the field that have been involved in damage calculation are destroyed during the End Step of the turn.,Normal,,https://images.ygoprodeck.com/images/cards/25345186.jpg,43814
157,Afterglow,Spell Card,"Banish this card, and as many ""Afterglow"" from your hand, Deck, GY, and face-up field as possible, then shuffle 1 of your banished ""Afterglow"" into the Deck. During your next Draw Phase, reveal the card you draw for your normal draw, and inflict 4000 damage to your opponent if it is ""Afterglow"". You can only activate 1 ""Afterglow"" per Duel.",Normal,,https://images.ygoprodeck.com/images/cards/43575579.jpg,7144
158,Against the Wind,Spell Card,"Select 1 ""Blackwing"" monster in your Graveyard. Take damage equal to the ATK of the selected monster, and add it to your hand.",Normal,Blackwing,https://images.ygoprodeck.com/images/cards/64952266.jpg,31686
165,Air Cracking Storm,Spell Card,Equip only to a Machine monster. When that attacking monster destroys your opponent's monster by battle: You can activate this effect; it can make a second attack during this Battle Phase. Your other monsters cannot attack the turn you activate this effect.,Equip,,https://images.ygoprodeck.com/images/cards/98864751.jpg,18425
218,Allure of Darkness,Spell Card,"Draw 2 cards, then banish 1 DARK monster from your hand, or, if you do not have any in your hand, send your entire hand to the GY.",Normal,,https://images.ygoprodeck.com/images/cards/1475311.jpg,2934349
219,Alluring Mirror Split,Spell Card,"When a ""Harpie Lady"" or ""Harpie Lady Sisters"" you control is destroyed by battle: You can Special Summon 1 ""Harpie"" monster from your Deck with a different original name than the destroyed monster. If this card you control is destroyed by a ""Harpie"" card's effect or your opponent's card effect: Target 1 ""Harpie"" monster in your GY; Special Summon it. You can only use each effect of ""Alluring Mirror Split"" once per turn.",Continuous,Harpie,https://images.ygoprodeck.com/images/cards/92881099.jpg,92249
294,Amazement Precious Park,Spell Card,"During your Main Phase, you can activate 1 ""Attraction"" Trap the turn it was Set. During the End Phase: You can send 1 ""Attraction"" Trap you control equipped to a monster to the GY, then target 1 of your ""Attraction"" Traps, with a different name, that is banished or in your GY; Set that card. You can only use each effect of ""Amazement Precious Park"" once per turn.",Field,Amazement,https://images.ygoprodeck.com/images/cards/33773528.jpg,13517
295,Amazement Special Show,Spell Card,"When your opponent activates a card or effect that targets an ""Amazement"" monster(s) you control: Target 1 of those ""Amazement"" monsters you control; return it to the hand, then, you can Special Summon 1 ""Amazement"" monster from your hand.",Quick-Play,Amazement,https://images.ygoprodeck.com/images/cards/6374519.jpg,8868
296,Amazing Pendulum,Spell Card,"If you have no cards in your Pendulum Zones: Add 2 face-up ""Magician"" Pendulum Monsters with different names from your Extra Deck to your hand. You can only activate 1 ""Amazing Pendulum"" per turn.",Normal,Magician,https://images.ygoprodeck.com/images/cards/37803970.jpg,30383
297,Amazing Time Ticket,Spell Card,"Pay 800 LP; apply this effect, depending whose turn it is.
● Your turn: Add 1 ""Amazement"" card from your Deck to your hand.
● Your opponent's turn: Set 1 ""Attraction"" Trap directly from your Deck. It can be activated this turn.
You can only activate 1 ""Amazing Time Ticket"" per turn.",Quick-Play,Amazement,https://images.ygoprodeck.com/images/cards/70389815.jpg,37284
304,Amazoness Call,Spell Card,"Take 1 ""Amazoness"" card from your Deck, except ""Amazoness Call"", and either add it to your hand or send it to the GY. During your Main Phase: You can banish this card from your GY, then target 1 ""Amazoness"" monster you control; this turn, that monster can attack all monsters your opponent controls, once each, also other monsters you control cannot attack. You can only activate 1 ""Amazoness Call"" per turn.",Quick-Play,Amazoness,https://images.ygoprodeck.com/images/cards/57312333.jpg,64463
308,Amazoness Fighting Spirit,Spell Card,"If an ""Amazoness"" monster attacks a monster with higher ATK, the attacking monster gains 1000 ATK during damage calculation only.",Continuous,Amazoness,https://images.ygoprodeck.com/images/cards/36100154.jpg,28795
311,Amazoness Heirloom,Spell Card,"Equip only to an ""Amazoness"" monster. Once per turn, that monster cannot be destroyed by battle. After damage calculation, if the equipped monster attacks a monster: Destroy the attacked monster.",Equip,Amazoness,https://images.ygoprodeck.com/images/cards/79965360.jpg,48892
321,Amazoness Secret Arts,Spell Card,"Fusion Summon 1 ""Amazoness"" Fusion Monster from your Extra Deck, using monsters from your hand or field as Fusion Material. During your Main Phase: You can banish this card from your GY; once, if you would Fusion Summon an ""Amazoness"" Fusion Monster this turn, you can also send 1 ""Amazoness"" monster from your Extra Deck to the GY as material. You can only use 1 ""Amazoness Secret Arts"" effect per turn, and only once that turn.",Quick-Play,Amazoness,https://images.ygoprodeck.com/images/cards/86758746.jpg,6920
324,Amazoness Spellcaster,Spell Card,"Target 1 ""Amazoness"" monster you control and 1 face-up monster your opponent controls; switch the original ATK of those targets until the end of this turn.",Normal,Amazoness,https://images.ygoprodeck.com/images/cards/81325903.jpg,59013
330,Amazoness Village,Spell Card,"All ""Amazoness"" monsters gain 200 ATK. Once per turn, when an ""Amazoness"" monster is destroyed by battle or card effect and sent to the GY: You can Special Summon 1 ""Amazoness"" monster from your Deck with a Level less than or equal to that ""Amazoness"" monster in the GY.",Field,Amazoness,https://images.ygoprodeck.com/images/cards/712559.jpg,61877
344,Amorphage Infection,Spell Card,"All ""Amorphage"" monsters on the field gain 100 ATK and DEF for each ""Amorphage"" card on the field. If a monster(s) in your hand or you control is Tributed, or destroyed by battle or card effect: You can add 1 ""Amorphage"" card from your Deck to your hand. You can only use this effect of ""Amorphage Infection"" once per turn.",Continuous,Amorphage,https://images.ygoprodeck.com/images/cards/50554729.jpg,26424
350,Amorphous Persona,Spell Card,"All ""Amorphage"" monsters on the field gain 300 ATK and DEF. Up to twice per turn, if an ""Amorphage"" monster(s) you control is Tributed, draw 1 card. You can banish this card from your Graveyard; Tribute Pendulum Monsters from your hand or field whose total Levels exactly equal 8, then Ritual Summon 1 ""Amorphactor Pain, the Imagination Dracoverlord"" from your hand.",Field,Amorphage,https://images.ygoprodeck.com/images/cards/23160024.jpg,27288
356,Amplifier,Spell Card,"Equip only to ""Jinzo"". While this card is equipped, the equipped monster's effect does not negate the effects of its controller's Trap Cards. When this card is removed from the field, destroy the equipped monster. This card's activation and effect cannot be negated.",Equip,,https://images.ygoprodeck.com/images/cards/303660.jpg,39289
358,Amulet of Ambition,Spell Card,"Equip only to a Normal Monster. If it battles a monster with a higher Level, the equipped monster gains 500 ATK x the difference in Levels, during that damage calculation only. When this card is sent to the GY: You can place it on top of your Deck.",Equip,,https://images.ygoprodeck.com/images/cards/5183693.jpg,31007
365,Ancient Chant,Spell Card,"Add 1 ""The Winged Dragon of Ra"" from your Deck or GY to your hand, and if you do, you can Tribute Summon 1 monster during your Main Phase this turn, in addition to your Normal Summon/Set. (You can only gain this effect once per turn.) You can banish this card from your GY: If you Tribute Summon ""The Winged Dragon of Ra"" this turn, its original ATK/DEF become the combined original ATK/DEF of the monsters Tributed for its Summon. You can only activate 1 ""Ancient Chant"" per turn.",Normal,Egyptian God,https://images.ygoprodeck.com/images/cards/78665705.jpg,203405
366,Ancient City - Rainbow Ruins,Spell Card,"You must have this many ""Crystal Beast"" cards in your Spell & Trap Card Zone to activate and to resolve these effects. ● 1+: This card cannot be destroyed by card effects. ● 2+: Once per turn (including the opponent's) you can halve the Battle Damage you take. ● 3+: During either player's turn, when a Spell/Trap Card is activated: You can send 1 ""Crystal Beast"" monster you control to the Graveyard; negate the activation, and if you do, destroy it. ● 4+: Once per turn, during your Main Phase: You can draw 1 card. ● 5: Once per turn, during your Main Phase: You can target 1 ""Crystal Beast"" card in your Spell & Trap Card Zone; Special Summon that target.",Field,Crystal Beast,https://images.ygoprodeck.com/images/cards/34487429.jpg,128027
372,Ancient Forest,Spell Card,"When you activate this card, change any Defense Position monster(s) to face-up Attack Position. Flip Effects are not activated at this time. If a monster attacks, destroy it at the end of that turn's Battle Phase.",Field,,https://images.ygoprodeck.com/images/cards/87624166.jpg,16963
379,Ancient Gear Castle,Spell Card,"All ""Ancient Gear"" monsters gain 300 ATK. Each time a monster is Normal Summoned/Set, place 1 counter on this card. If you Tribute Summon an ""Ancient Gear"" monster face-up, you can Tribute this card instead, if the number of its counters is equal to or greater than the number of required Tribute(s).",Continuous,Ancient Gear,https://images.ygoprodeck.com/images/cards/92001300.jpg,71498
380,Ancient Gear Catapult,Spell Card,"While you control no monsters: Target 1 face-up card you control; destroy it, and if you do, Special Summon 1 ""Ancient Gear"" monster from your Deck, ignoring its Summoning conditions. You can banish this card from your Graveyard, then target 1 face-up card you control; destroy it, and if you do, Special Summon 1 ""Ancient Gear Token"" (Machine-Type/EARTH/Level 1/ATK 0/DEF 0). You can only use 1 ""Ancient Gear Catapult"" effect per turn, and only once that turn.",Normal,Ancient Gear,https://images.ygoprodeck.com/images/cards/44052074.jpg,196198
381,Ancient Gear Drill,Spell Card,"If you control an ""Ancient Gear"" monster: Discard 1 card; Set 1 Spell Card directly from your Deck. This turn, that Spell Card cannot be activated.",Normal,Ancient Gear,https://images.ygoprodeck.com/images/cards/67829249.jpg,56969
383,Ancient Gear Explosive,Spell Card,"Target 1 ""Ancient Gear"" monster you control; destroy it, and if you do, inflict damage to your opponent equal to half its original ATK.",Normal,Ancient Gear,https://images.ygoprodeck.com/images/cards/4446672.jpg,26175
