,type,atk,def,level,scale,linkval,views,image_url
138,Effect Monster,1700.0,1600.0,4.0,,,2187,https://images.ygoprodeck.com/images/cards/18847598.jpg
139,Effect Monster,1200.0,400.0,3.0,,,1964,https://images.ygoprodeck.com/images/cards/19963185.jpg
140,Effect Monster,1400.0,800.0,4.0,,,2577,https://images.ygoprodeck.com/images/cards/45236142.jpg
141,Effect Monster,600.0,2000.0,3.0,,,1244,https://images.ygoprodeck.com/images/cards/46358784.jpg
142,Effect Monster,300.0,300.0,3.0,,,2073,https://images.ygoprodeck.com/images/cards/83575471.jpg
143,Effect Monster,1800.0,1200.0,4.0,,,5416,https://images.ygoprodeck.com/images/cards/71620241.jpg
144,Effect Monster,1600.0,1000.0,4.0,,,1556,https://images.ygoprodeck.com/images/cards/72843899.jpg
148,XYZ Monster,0.0,3000.0,8.0,,,79825,https://images.ygoprodeck.com/images/cards/10678778.jpg
152,Tuner Monster,200.0,200.0,1.0,,,4092,https://images.ygoprodeck.com/images/cards/83094004.jpg
153,Effect Monster,2300.0,1600.0,6.0,,,21864,https://images.ygoprodeck.com/images/cards/56804361.jpg
154,Pendulum Effect Monster,2300.0,1600.0,6.0,4.0,,64253,https://images.ygoprodeck.com/images/cards/28865322.jpg
159,Link Monster,3000.0,,,,4.0,91544,https://images.ygoprodeck.com/images/cards/2411269.jpg
160,Effect Monster,1500.0,1300.0,4.0,,,42604,https://images.ygoprodeck.com/images/cards/16135253.jpg
161,Effect Monster,1500.0,1300.0,4.0,,,106632,https://images.ygoprodeck.com/images/cards/62320425.jpg
162,Effect Monster,1700.0,0.0,4.0,,,396369,https://images.ygoprodeck.com/images/cards/86377375.jpg
163,Effect Monster,0.0,0.0,1.0,,,0,https://images.ygoprodeck.com/images/cards/96084564.jpg
164,Effect Monster,1400.0,1400.0,4.0,,,23445,https://images.ygoprodeck.com/images/cards/69023354.jpg
166,Normal Monster,2100.0,1600.0,6.0,,,8227,https://images.ygoprodeck.com/images/cards/8353769.jpg
167,Effect Monster,1900.0,1400.0,5.0,,,92126,https://images.ygoprodeck.com/images/cards/18036057.jpg
168,Effect Monster,1400.0,300.0,3.0,,,12811,https://images.ygoprodeck.com/images/cards/84747429.jpg
169,Normal Monster,100.0,100.0,5.0,,,34797,https://images.ygoprodeck.com/images/cards/48202661.jpg
170,Fusion Monster,2000.0,2800.0,8.0,,,74925,https://images.ygoprodeck.com/images/cards/35877582.jpg
171,Normal Monster,1000.0,800.0,3.0,,,7380,https://images.ygoprodeck.com/images/cards/38035986.jpg
172,Link Monster,1700.0,,,,2.0,280506,https://images.ygoprodeck.com/images/cards/28776350.jpg
173,Normal Monster,1700.0,1400.0,5.0,,,5899,https://images.ygoprodeck.com/images/cards/36904469.jpg
174,Effect Monster,1500.0,1000.0,6.0,,,9972,https://images.ygoprodeck.com/images/cards/38837163.jpg
175,Tuner Monster,1600.0,1000.0,3.0,,,24046,https://images.ygoprodeck.com/images/cards/25795273.jpg
176,Fusion Monster,2500.0,2500.0,8.0,,,110705,https://images.ygoprodeck.com/images/cards/3410461.jpg
177,Effect Monster,1800.0,0.0,4.0,,,9187,https://images.ygoprodeck.com/images/cards/37683547.jpg
178,Fusion Monster,2500.0,2000.0,8.0,,,532596,https://images.ygoprodeck.com/images/cards/87746184.jpg
179,Fusion Monster,3000.0,2500.0,8.0,,,2,https://images.ygoprodeck.com/images/cards/38811586.jpg
180,Effect Monster,2500.0,2000.0,8.0,,,255990,https://images.ygoprodeck.com/images/cards/25451383.jpg
181,XYZ Monster,1500.0,1500.0,4.0,,,73444,https://images.ygoprodeck.com/images/cards/65301952.jpg
182,Effect Monster,1200.0,1800.0,4.0,,,21314,https://images.ygoprodeck.com/images/cards/78121572.jpg
184,Effect Monster,2400.0,2000.0,6.0,,,17657,https://images.ygoprodeck.com/images/cards/17573739.jpg
185,Effect Monster,2000.0,800.0,8.0,,,61192,https://images.ygoprodeck.com/images/cards/98787535.jpg
186,Effect Monster,1000.0,1800.0,4.0,,,1045108,https://images.ygoprodeck.com/images/cards/86120751.jpg
187,Link Monster,1800.0,,,,2.0,329352,https://images.ygoprodeck.com/images/cards/97973962.jpg
188,Normal Monster,2000.0,100.0,4.0,,,195364,https://images.ygoprodeck.com/images/cards/43096270.jpg
189,Effect Monster,2800.0,2300.0,8.0,,,55835,https://images.ygoprodeck.com/images/cards/45154513.jpg
190,Effect Monster,0.0,2000.0,3.0,,,31269,https://images.ygoprodeck.com/images/cards/14504454.jpg
191,Effect Monster,1200.0,0.0,3.0,,,114076,https://images.ygoprodeck.com/images/cards/47728740.jpg
192,Tuner Monster,500.0,200.0,1.0,,,68283,https://images.ygoprodeck.com/images/cards/652362.jpg
194,Effect Monster,1500.0,1000.0,3.0,,,60410,https://images.ygoprodeck.com/images/cards/15475415.jpg
195,Flip Effect Monster,300.0,800.0,2.0,,,42142,https://images.ygoprodeck.com/images/cards/62437709.jpg
196,Effect Monster,1600.0,800.0,4.0,,,33305,https://images.ygoprodeck.com/images/cards/62315111.jpg
197,Gemini Monster,1600.0,700.0,4.0,,,36973,https://images.ygoprodeck.com/images/cards/38468214.jpg
198,Effect Monster,800.0,500.0,2.0,,,20106,https://images.ygoprodeck.com/images/cards/76573247.jpg
199,Effect Monster,1600.0,700.0,4.0,,,46239,https://images.ygoprodeck.com/images/cards/64160836.jpg
200,Effect Monster,1000.0,1000.0,3.0,,,31006,https://images.ygoprodeck.com/images/cards/99532708.jpg
201,Effect Monster,2300.0,1500.0,6.0,,,39988,https://images.ygoprodeck.com/images/cards/24104865.jpg
202,Effect Monster,2200.0,1600.0,6.0,,,53218,https://images.ygoprodeck.com/images/cards/63253763.jpg
203,Effect Monster,200.0,100.0,1.0,,,25059,https://images.ygoprodeck.com/images/cards/58012107.jpg
204,Normal Monster,1900.0,800.0,4.0,,,58712,https://images.ygoprodeck.com/images/cards/97127906.jpg
205,Link Monster,1900.0,,,,2.0,81981,https://images.ygoprodeck.com/images/cards/74974229.jpg
206,Effect Monster,1600.0,1800.0,4.0,,,29261,https://images.ygoprodeck.com/images/cards/25920413.jpg
207,Effect Monster,1700.0,1500.0,4.0,,,31189,https://images.ygoprodeck.com/images/cards/58066722.jpg
208,Effect Monster,1600.0,1000.0,4.0,,,36476,https://images.ygoprodeck.com/images/cards/91070115.jpg
209,Effect Monster,1800.0,1000.0,4.0,,,58775,https://images.ygoprodeck.com/images/cards/98719226.jpg
210,Normal Monster,950.0,700.0,3.0,,,8500,https://images.ygoprodeck.com/images/cards/70924884.jpg
211,Pendulum Effect Monster,3000.0,2500.0,10.0,0.0,,67330,https://images.ygoprodeck.com/images/cards/70335319.jpg
213,Normal Monster,1500.0,1200.0,4.0,,,49641,https://images.ygoprodeck.com/images/cards/64428736.jpg
214,Fusion Monster,1700.0,1500.0,5.0,,,59681,https://images.ygoprodeck.com/images/cards/3366982.jpg
215,Effect Monster,500.0,500.0,3.0,,,29490,https://images.ygoprodeck.com/images/cards/87257460.jpg
216,Effect Monster,1000.0,1000.0,5.0,,,23861,https://images.ygoprodeck.com/images/cards/23756165.jpg
217,Effect Monster,1500.0,1500.0,7.0,,,26166,https://images.ygoprodeck.com/images/cards/50140163.jpg
220,Fusion Monster,0.0,2100.0,2.0,,,49136,https://images.ygoprodeck.com/images/cards/3544583.jpg
221,Normal Tuner Monster,1800.0,1400.0,5.0,,,10888,https://images.ygoprodeck.com/images/cards/40155554.jpg
222,Effect Monster,400.0,300.0,2.0,,,7893,https://images.ygoprodeck.com/images/cards/59482302.jpg
223,Synchro Monster,2200.0,1200.0,5.0,,,135426,https://images.ygoprodeck.com/images/cards/26593852.jpg
224,Normal Monster,2300.0,1200.0,6.0,,,16674,https://images.ygoprodeck.com/images/cards/89386122.jpg
225,Effect Monster,1200.0,200.0,3.0,,,21446,https://images.ygoprodeck.com/images/cards/36629203.jpg
226,Effect Monster,2400.0,1200.0,8.0,,,13502,https://images.ygoprodeck.com/images/cards/8822710.jpg
227,Tuner Monster,1000.0,1000.0,3.0,,,75311,https://images.ygoprodeck.com/images/cards/8233522.jpg
228,Tuner Monster,1400.0,1200.0,3.0,,,14276,https://images.ygoprodeck.com/images/cards/45586855.jpg
229,Synchro Monster,3300.0,3300.0,10.0,,,27487,https://images.ygoprodeck.com/images/cards/9888196.jpg
230,Effect Monster,1800.0,1800.0,6.0,,,10022,https://images.ygoprodeck.com/images/cards/45033006.jpg
231,Synchro Monster,2900.0,2600.0,9.0,,,22444,https://images.ygoprodeck.com/images/cards/69461394.jpg
232,Effect Monster,1600.0,400.0,4.0,,,11875,https://images.ygoprodeck.com/images/cards/25771826.jpg
233,Synchro Monster,2400.0,1600.0,8.0,,,15393,https://images.ygoprodeck.com/images/cards/19204398.jpg
234,Effect Monster,1600.0,1200.0,4.0,,,7962,https://images.ygoprodeck.com/images/cards/76650663.jpg
235,Effect Monster,2200.0,800.0,5.0,,,8391,https://images.ygoprodeck.com/images/cards/45450218.jpg
236,Effect Monster,1700.0,1200.0,4.0,,,12440,https://images.ygoprodeck.com/images/cards/72845813.jpg
237,Effect Monster,1200.0,1200.0,4.0,,,7752,https://images.ygoprodeck.com/images/cards/55982698.jpg
238,Effect Monster,1900.0,1200.0,5.0,,,9929,https://images.ygoprodeck.com/images/cards/52265835.jpg
239,Effect Monster,1400.0,100.0,3.0,,,8552,https://images.ygoprodeck.com/images/cards/3648368.jpg
240,Effect Monster,1700.0,0.0,4.0,,,12335,https://images.ygoprodeck.com/images/cards/85876417.jpg
241,Effect Monster,2700.0,2200.0,8.0,,,10396,https://images.ygoprodeck.com/images/cards/71438011.jpg
242,Effect Monster,1200.0,800.0,3.0,,,10201,https://images.ygoprodeck.com/images/cards/22371016.jpg
243,Effect Monster,600.0,200.0,2.0,,,8887,https://images.ygoprodeck.com/images/cards/82377606.jpg
244,Effect Monster,1700.0,300.0,4.0,,,234245,https://images.ygoprodeck.com/images/cards/92998610.jpg
245,Effect Monster,2700.0,2100.0,7.0,,,16968,https://images.ygoprodeck.com/images/cards/77797992.jpg
247,Effect Monster,1700.0,1100.0,3.0,,,92874,https://images.ygoprodeck.com/images/cards/42023223.jpg
248,Normal Monster,1400.0,1700.0,4.0,,,86629,https://images.ygoprodeck.com/images/cards/99785935.jpg
249,Effect Monster,3000.0,2500.0,8.0,,,223051,https://images.ygoprodeck.com/images/cards/73304257.jpg
250,XYZ Monster,2300.0,3200.0,8.0,,,122551,https://images.ygoprodeck.com/images/cards/10406322.jpg
253,Synchro Monster,2200.0,1200.0,6.0,,,29248,https://images.ygoprodeck.com/images/cards/21187631.jpg
256,Tuner Monster,0.0,1000.0,2.0,,,21557,https://images.ygoprodeck.com/images/cards/12977245.jpg
257,Effect Monster,1400.0,1200.0,4.0,,,14909,https://images.ygoprodeck.com/images/cards/85673903.jpg
259,Link Monster,1500.0,,,,2.0,149634,https://images.ygoprodeck.com/images/cards/1508649.jpg
260,Link Monster,1000.0,,,,2.0,50867,https://images.ygoprodeck.com/images/cards/76685519.jpg
261,Effect Monster,0.0,2400.0,5.0,,,100304,https://images.ygoprodeck.com/images/cards/52927340.jpg
263,Effect Monster,1600.0,1700.0,4.0,,,157755,https://images.ygoprodeck.com/images/cards/53143898.jpg
264,Effect Monster,500.0,300.0,1.0,,,167610,https://images.ygoprodeck.com/images/cards/25533642.jpg
265,Link Monster,2800.0,,,,4.0,41591,https://images.ygoprodeck.com/images/cards/23790299.jpg
266,Effect Monster,1200.0,800.0,3.0,,,166474,https://images.ygoprodeck.com/images/cards/42790071.jpg
267,Effect Monster,100.0,100.0,1.0,,,19755,https://images.ygoprodeck.com/images/cards/57769391.jpg
268,Effect Monster,300.0,100.0,1.0,,,53174,https://images.ygoprodeck.com/images/cards/59185998.jpg
269,Link Monster,2100.0,,,,3.0,84880,https://images.ygoprodeck.com/images/cards/93503294.jpg
271,Effect Monster,800.0,1500.0,2.0,,,126232,https://images.ygoprodeck.com/images/cards/89538537.jpg
272,Effect Monster,1400.0,1200.0,4.0,,,9667,https://images.ygoprodeck.com/images/cards/27632240.jpg
273,Effect Monster,1800.0,0.0,4.0,,,694578,https://images.ygoprodeck.com/images/cards/62962630.jpg
274,Effect Monster,1500.0,1000.0,4.0,,,116824,https://images.ygoprodeck.com/images/cards/27024795.jpg
275,Effect Monster,0.0,0.0,3.0,,,3525,https://images.ygoprodeck.com/images/cards/2139640.jpg
276,Spirit Monster,1900.0,1200.0,4.0,,,118856,https://images.ygoprodeck.com/images/cards/32181268.jpg
277,Tuner Monster,1000.0,1000.0,3.0,,,8872,https://images.ygoprodeck.com/images/cards/43739056.jpg
278,Effect Monster,100.0,200.0,1.0,,,12523,https://images.ygoprodeck.com/images/cards/18988391.jpg
279,Spirit Monster,3000.0,3000.0,9.0,,,33929,https://images.ygoprodeck.com/images/cards/20073910.jpg
280,Link Monster,3000.0,,,,4.0,15629,https://images.ygoprodeck.com/images/cards/662855.jpg
288,Effect Monster,2600.0,2200.0,7.0,,,57903,https://images.ygoprodeck.com/images/cards/94821366.jpg
289,Effect Monster,1600.0,900.0,3.0,,,15888,https://images.ygoprodeck.com/images/cards/30829071.jpg
290,Effect Monster,1800.0,1400.0,4.0,,,17517,https://images.ygoprodeck.com/images/cards/22662014.jpg
291,Effect Monster,1400.0,1800.0,4.0,,,35187,https://images.ygoprodeck.com/images/cards/67314110.jpg
292,Effect Monster,2600.0,2200.0,7.0,,,0,https://images.ygoprodeck.com/images/cards/31600845.jpg
298,Normal Monster,1300.0,1400.0,4.0,,,10635,https://images.ygoprodeck.com/images/cards/17968114.jpg
299,Effect Monster,1400.0,1000.0,4.0,,,114740,https://images.ygoprodeck.com/images/cards/91869203.jpg
301,Fusion Monster,3200.0,2800.0,10.0,,,8166,https://images.ygoprodeck.com/images/cards/23965033.jpg
302,Effect Monster,500.0,500.0,2.0,,,84781,https://images.ygoprodeck.com/images/cards/10928224.jpg
303,Effect Monster,800.0,1500.0,3.0,,,50766,https://images.ygoprodeck.com/images/cards/73574678.jpg
305,Effect Monster,1500.0,1300.0,4.0,,,40256,https://images.ygoprodeck.com/images/cards/29654737.jpg
306,Fusion Monster,2800.0,2400.0,8.0,,,64909,https://images.ygoprodeck.com/images/cards/4591250.jpg
307,Effect Monster,1500.0,1300.0,4.0,,,68420,https://images.ygoprodeck.com/images/cards/55821894.jpg
309,Pendulum Effect Monster,2000.0,1200.0,5.0,1.0,,8829,https://images.ygoprodeck.com/images/cards/97692972.jpg
314,Effect Monster,1700.0,300.0,4.0,,,78543,https://images.ygoprodeck.com/images/cards/47480070.jpg
315,Fusion Monster,2500.0,2400.0,7.0,,,48976,https://images.ygoprodeck.com/images/cards/68507541.jpg
316,Fusion Monster,2900.0,2800.0,9.0,,,6428,https://images.ygoprodeck.com/images/cards/59353647.jpg
317,Effect Monster,1200.0,900.0,3.0,,,75157,https://images.ygoprodeck.com/images/cards/84539520.jpg
318,Effect Monster,2400.0,1800.0,6.0,,,62259,https://images.ygoprodeck.com/images/cards/15951532.jpg
319,Effect Monster,1400.0,700.0,4.0,,,43587,https://images.ygoprodeck.com/images/cards/53162898.jpg
320,Effect Monster,500.0,1100.0,2.0,,,33286,https://images.ygoprodeck.com/images/cards/71209500.jpg
323,Pendulum Effect Monster,1200.0,2000.0,3.0,7.0,,7917,https://images.ygoprodeck.com/images/cards/24087580.jpg
325,Effect Monster,800.0,1800.0,2.0,,,7213,https://images.ygoprodeck.com/images/cards/97870394.jpg
326,Effect Monster,800.0,1200.0,3.0,,,63930,https://images.ygoprodeck.com/images/cards/31102447.jpg
327,Effect Monster,1500.0,1600.0,4.0,,,104637,https://images.ygoprodeck.com/images/cards/94004268.jpg
328,Effect Monster,1100.0,1500.0,4.0,,,63239,https://images.ygoprodeck.com/images/cards/10979723.jpg
329,Effect Monster,1500.0,1300.0,4.0,,,32942,https://images.ygoprodeck.com/images/cards/89567993.jpg
331,Effect Monster,1900.0,0.0,5.0,,,6416,https://images.ygoprodeck.com/images/cards/50486289.jpg
333,Effect Monster,2400.0,100.0,6.0,,,10757,https://images.ygoprodeck.com/images/cards/41224658.jpg
334,Fusion Monster,2300.0,1800.0,6.0,,,39772,https://images.ygoprodeck.com/images/cards/98927491.jpg
335,Effect Monster,300.0,1200.0,3.0,,,33493,https://images.ygoprodeck.com/images/cards/36378213.jpg
337,Effect Monster,300.0,350.0,1.0,,,77108,https://images.ygoprodeck.com/images/cards/95174353.jpg
338,Effect Monster,600.0,2000.0,3.0,,,15833,https://images.ygoprodeck.com/images/cards/40213117.jpg
339,Ritual Effect Monster,2950.0,2500.0,8.0,,,128720,https://images.ygoprodeck.com/images/cards/98287529.jpg
340,Pendulum Effect Monster,0.0,2050.0,4.0,5.0,,25979,https://images.ygoprodeck.com/images/cards/33300669.jpg
341,Pendulum Effect Monster,0.0,1850.0,2.0,5.0,,28053,https://images.ygoprodeck.com/images/cards/34522216.jpg
342,Pendulum Effect Monster,2750.0,0.0,8.0,5.0,,329441,https://images.ygoprodeck.com/images/cards/69072185.jpg
343,Pendulum Effect Monster,0.0,1950.0,4.0,3.0,,27531,https://images.ygoprodeck.com/images/cards/7305060.jpg
345,Pendulum Effect Monster,1350.0,0.0,2.0,5.0,,47752,https://images.ygoprodeck.com/images/cards/70917315.jpg
347,Pendulum Effect Monster,1750.0,0.0,4.0,3.0,,28022,https://images.ygoprodeck.com/images/cards/6283472.jpg
348,Pendulum Effect Monster,2250.0,0.0,6.0,3.0,,78028,https://images.ygoprodeck.com/images/cards/32687071.jpg
349,Pendulum Effect Monster,1650.0,0.0,4.0,3.0,,26481,https://images.ygoprodeck.com/images/cards/79794767.jpg
351,Normal Monster,2400.0,2000.0,6.0,,,64935,https://images.ygoprodeck.com/images/cards/67371383.jpg
352,Fusion Monster,1850.0,1300.0,5.0,,,8402,https://images.ygoprodeck.com/images/cards/40173854.jpg
353,Effect Monster,1850.0,1500.0,5.0,,,3692,https://images.ygoprodeck.com/images/cards/4754691.jpg
354,Effect Monster,1500.0,1300.0,4.0,,,52703,https://images.ygoprodeck.com/images/cards/64342551.jpg
355,Link Monster,2600.0,,,,4.0,59789,https://images.ygoprodeck.com/images/cards/20665527.jpg
357,Fusion Monster,2900.0,2500.0,8.0,,,378818,https://images.ygoprodeck.com/images/cards/75380687.jpg
359,Effect Monster,2700.0,2100.0,8.0,,,47490,https://images.ygoprodeck.com/images/cards/61160289.jpg
360,Flip Effect Monster,300.0,500.0,2.0,,,44555,https://images.ygoprodeck.com/images/cards/23927567.jpg
362,Effect Monster,1800.0,100.0,4.0,,,7380,https://images.ygoprodeck.com/images/cards/58324930.jpg
363,Pendulum Effect Monster,1800.0,0.0,5.0,4.0,,146367,https://images.ygoprodeck.com/images/cards/52296675.jpg
364,Normal Monster,1000.0,700.0,3.0,,,56855,https://images.ygoprodeck.com/images/cards/42431843.jpg
367,Effect Monster,2600.0,1800.0,7.0,,,17254,https://images.ygoprodeck.com/images/cards/50781944.jpg
368,Effect Monster,1400.0,1300.0,4.0,,,42904,https://images.ygoprodeck.com/images/cards/38520918.jpg
369,Normal Monster,1450.0,1200.0,4.0,,,79848,https://images.ygoprodeck.com/images/cards/93221206.jpg
370,Synchro Monster,2100.0,3000.0,7.0,,,91205,https://images.ygoprodeck.com/images/cards/25862681.jpg
371,Synchro Monster,2500.0,200.0,7.0,,,18656,https://images.ygoprodeck.com/images/cards/26304459.jpg
374,Effect Monster,100.0,800.0,2.0,,,64434,https://images.ygoprodeck.com/images/cards/31557782.jpg
375,Link Monster,1500.0,,,,2.0,152198,https://images.ygoprodeck.com/images/cards/10547580.jpg
376,Effect Monster,2000.0,2000.0,6.0,,,72514,https://images.ygoprodeck.com/images/cards/10509340.jpg
377,Effect Monster,500.0,2000.0,4.0,,,221032,https://images.ygoprodeck.com/images/cards/60953949.jpg
378,Effect Monster,500.0,500.0,2.0,,,42242,https://images.ygoprodeck.com/images/cards/80045583.jpg
382,Effect Monster,1500.0,1500.0,5.0,,,42278,https://images.ygoprodeck.com/images/cards/1953925.jpg
387,Effect Monster,1600.0,500.0,4.0,,,170243,https://images.ygoprodeck.com/images/cards/1278431.jpg
389,Effect Monster,500.0,2000.0,4.0,,,123405,https://images.ygoprodeck.com/images/cards/18486927.jpg
390,Effect Monster,2300.0,1300.0,6.0,,,33226,https://images.ygoprodeck.com/images/cards/86321248.jpg
391,Effect Monster,3000.0,2000.0,8.0,,,65614,https://images.ygoprodeck.com/images/cards/50933533.jpg
