,name,type,desc,race,archetype,image_url,views
71,Abyss Actors' Curtain Call,Trap Card,"If an ""Abyss Script"" Spell Card or effect is activated this turn: Add face-up ""Abyss Actor"" Pendulum Monsters from your Extra Deck to your hand, up to the number of ""Abyss Script"" Spells in your GY. Then, you can Special Summon ""Abyss Actor"" Pendulum Monsters from your hand with different names, up to the number of monsters added to the hand by this effect. You cannot Special Summon monsters for the rest of this turn, except ""Abyss Actor"" Pendulum Monsters. You can only activate 1 ""Abyss Actors' Curtain Call"" per turn.",Normal,Abyss Actor,https://images.ygoprodeck.com/images/cards/4682617.jpg,20118
87,Abyss Stungray,Trap Card,"Special Summon this card as an Effect Monster (Thunder-Type/LIGHT/Level 5/ATK 1900/DEF 0). (This card is also still a Trap Card.) If Summoned this way, this card cannot be destroyed by battle.",Continuous,,https://images.ygoprodeck.com/images/cards/97232518.jpg,67686
92,Abyss-scorn,Trap Card,"Target 1 ""Mermail"" monster you control; it gains 1000 ATK until the End Phase. When this Set card is sent to the Graveyard: Target 1 monster your opponent controls; send that target to the Graveyard.",Normal,Mermail,https://images.ygoprodeck.com/images/cards/79206750.jpg,19406
93,Abyss-sphere,Trap Card,"Special Summon 1 ""Mermail"" monster from your Deck. Its effects are negated. You cannot activate any Spell Cards. When this card leaves the field, destroy that monster. Destroy this card during your opponent's next End Phase after activation.",Continuous,Mermail,https://images.ygoprodeck.com/images/cards/60202749.jpg,29165
94,Abyss-squall,Trap Card,"Target 3 ""Mermail"" monsters in your Graveyard; Special Summon those targets in face-up Defense Position. Their effects are negated and they cannot declare an attack. Destroy them during the End Phase.",Normal,Mermail,https://images.ygoprodeck.com/images/cards/34707034.jpg,21155
95,Abyss-strom,Trap Card,"Send 1 face-up ""Umi"" you control to the Graveyard; send all Spell and Trap Cards on the field to the Graveyard.",Normal,Umi,https://images.ygoprodeck.com/images/cards/97697447.jpg,20698
102,Accumulated Fortune,Trap Card,Activate only as Chain Link 4 or higher. Draw 2 cards. You cannot activate this card if multiple cards/effects with the same name are in that Chain.,Normal,,https://images.ygoprodeck.com/images/cards/98444741.jpg,70249
108,Acid Trap Hole,Trap Card,"Target 1 face-down Defense Position monster on the field; flip it face-up, then destroy it if its DEF is 2000 or less, or return it face-down if its DEF is more than 2000.",Normal,Hole,https://images.ygoprodeck.com/images/cards/41356845.jpg,47557
122,Adamancipator Relief,Trap Card,"Tribute any number of ""Adamancipator"" monsters, then target cards on the field equal to that number +1; destroy them.",Normal,Adamancipator,https://images.ygoprodeck.com/images/cards/9341993.jpg,38728
124,Adamancipator Resonance,Trap Card,"When a monster effect is activated, while you control an ""Adamancipator"" Synchro Monster: Negate the activation, and if you do, destroy it.",Counter,Adamancipator,https://images.ygoprodeck.com/images/cards/45730592.jpg,40365
131,Adhesion Trap Hole,Trap Card,When your opponent Summons a monster(s): Halve that monster(s)'s original ATK.,Normal,Hole,https://images.ygoprodeck.com/images/cards/62325062.jpg,74979
149,Aegis of Gaia,Trap Card,"Gain 3000 Life Points. If this face-up card is removed from the field, take 3000 damage.",Continuous,,https://images.ygoprodeck.com/images/cards/47060347.jpg,28092
150,Aegis of the Ocean Dragon Lord,Trap Card,"Until the End Phase, face-up Level 3 or lower WATER monsters you control cannot be destroyed by battle or by card effects.",Normal,,https://images.ygoprodeck.com/images/cards/7935043.jpg,42223
151,Aerial Recharge,Trap Card,"Once per turn: You can Special Summon 1 ""Mecha Phantom Beast Token"" (Machine-Type/WIND/Level 3/ATK 0/DEF 0). During each player's End Phase, Tribute 1 Token or ""Mecha Phantom Beast"" monster, or send this card to the Graveyard.",Continuous,Mecha Phantom Beast,https://images.ygoprodeck.com/images/cards/70875955.jpg,22132
183,Alchemy Cycle,Trap Card,"The original ATK of all face-up monsters you control becomes 0, until the End Phase. Each time a monster that had its original ATK reduced to 0 by this effect is destroyed by battle and sent to the Graveyard, draw 1 card.",Normal,,https://images.ygoprodeck.com/images/cards/65384019.jpg,12596
193,Alien Brain,Trap Card,"When a Reptile-Type monster you control is destroyed by battle with an opponent's attacking monster and sent to the Graveyard: Take control of the opponent's monster, and if you do, it becomes Reptile-Type.",Normal,Alien,https://images.ygoprodeck.com/images/cards/17490535.jpg,38967
212,All-Out Attacks,Trap Card,"If a monster(s) is Special Summoned while this card is face-up on the field: Change that monster to face-up Attack Position, and must attack, if able, during the turn they are Special Summoned.",Continuous,,https://images.ygoprodeck.com/images/cards/30834988.jpg,26669
246,Alpha Summon,Trap Card,"Target 1 of your banished monsters and 1 of your opponent's banished monsters; Special Summon your monster to your opponent's field, and if you do, Special Summon that opponent's monster to your field. You can only activate 1 ""Alpha Summon"" per turn.",Normal,,https://images.ygoprodeck.com/images/cards/73355951.jpg,2
251,Altar for Tribute,Trap Card,Select 1 monster on your side of the field and send it to the Graveyard. Increase your Life Points by an amount equal to the original ATK of the monster.,Normal,,https://images.ygoprodeck.com/images/cards/21070956.jpg,38114
252,Altergeist Camouflage,Trap Card,"Target 1 ""Altergeist"" monster you control; equip this card to it. Your opponent cannot target it for attacks, but it does not prevent your opponent from attacking you directly. Negate an opponent's monster effect that activates by targeting the equipped monster. If an ""Altergeist"" card(s) you control would be destroyed by battle or card effect, you can banish this card from your GY instead.",Normal,Altergeist,https://images.ygoprodeck.com/images/cards/80143954.jpg,23423
254,Altergeist Emulatelf,Trap Card,"Special Summon this card as an Effect Monster (Spellcaster/LIGHT/Level 4/ATK 1400/DEF 1800). (This card is also still a Trap.) If Summoned this way, while it is in the Monster Zone, other ""Altergeist"" Traps you control cannot be destroyed by card effects, also neither player can target them with card effects.",Continuous,Altergeist,https://images.ygoprodeck.com/images/cards/86885905.jpg,34713
255,Altergeist Failover,Trap Card,"If another card(s) you control is destroyed by an opponent's card effect (except during the Damage Step): You can Special Summon 1 ""Altergeist"" monster from your hand. You can banish this card from your GY, then target 1 ""Altergeist"" monster in your GY; add it to your hand. You can only use each effect of ""Altergeist Failover"" once per turn.",Continuous,Altergeist,https://images.ygoprodeck.com/images/cards/98753320.jpg,12402
258,Altergeist Haunted Rock,Trap Card,"If this card was Set by the effect of an ""Altergeist"" card, you can activate it the turn it was Set. When this card is activated: Send 1 ""Altergeist"" monster from your hand to the GY. When your opponent activates a Trap Card (except during the Damage Step): You can send 1 ""Altergeist"" monster from your hand to the GY; negate that effect, and if you do, destroy that card. You can only use each effect of ""Altergeist Haunted Rock"" once per turn.",Continuous,Altergeist,https://images.ygoprodeck.com/images/cards/2547033.jpg,21129
262,Altergeist Manifestation,Trap Card,"Target 1 ""Altergeist"" monster in your GY; Special Summon it in Attack Position, and if you do, equip it with this card. When this card leaves the field, destroy that monster. You can banish this card from your GY, then target 1 ""Altergeist"" Trap in your GY; add it to your hand. You can only use this effect of ""Altergeist Manifestation"" once per turn.",Normal,Altergeist,https://images.ygoprodeck.com/images/cards/35146019.jpg,112533
270,Altergeist Protocol,Trap Card,"The activation and effects of ""Altergeist"" cards activated on your field cannot be negated. When your opponent activates a monster effect: You can send 1 other face-up ""Altergeist"" card you control to the GY; negate the activation, and if you do, destroy it. You can only use this effect of ""Altergeist Protocol"" once per turn.",Continuous,Altergeist,https://images.ygoprodeck.com/images/cards/27541563.jpg,133466
281,Amaze Attraction Cyclo-Coaster,Trap Card,"Target 1 ""Amazement"" monster you control or 1 face-up monster your opponent controls; equip this card to it. You can activate the following effect, based on which player controls the equipped monster;
● You: Target 1 Spell/Trap your opponent controls; send both it and this card to the GY.
● Your opponent: Add 1 ""Amazement"" monster from your Deck to your hand, and if you do, send this card to the GY.
You can only use this effect of ""Amaze Attraction Cyclo-Coaster"" once per turn.",Normal,Attraction,https://images.ygoprodeck.com/images/cards/66984907.jpg,25869
282,Amaze Attraction Horror House,Trap Card,"Target 1 ""Amazement"" monster you control or 1 face-up monster your opponent controls; equip this card to it. You can activate the following effect, based on which player controls the equipped monster;
● You: Target 1 Effect Monster your opponent controls; negate its effects until the end of this turn.
● Your opponent: Change the equipped monster to face-down Defense Position.
You can only use this effect of ""Amaze Attraction Horror House"" once per turn.",Normal,Attraction,https://images.ygoprodeck.com/images/cards/92650018.jpg,41949
283,Amaze Attraction Majestic Merry-Go-Round,Trap Card,"Target 1 ""Amazement"" monster you control or 1 face-up monster your opponent controls; equip this card to it. You can apply the following effect, based on which player controls the equipped monster;
● You: The equipped monster gains 500 ATK. If it would be destroyed by battle or card effect, you can send this card to the GY instead.
● Your opponent: The equipped monster loses 500 ATK for each of your ""Attraction"" Traps equipped to a monster(s).
You can only use this effect of ""Amaze Attraction Majestic Merry-Go-Round"" once per turn.",Normal,Attraction,https://images.ygoprodeck.com/images/cards/29867611.jpg,7849
284,Amaze Attraction Rapid Racing,Trap Card,"Target 1 ""Amazement"" monster you control or 1 face-up monster your opponent controls; equip this card to it. You can activate the following effect, based on which player controls the equipped monster;
● You: Target 1 card in your opponent's GY; change the equipped monster's battle position, and if you do, shuffle that target into the Deck.
● Your opponent: Increase the equipped monster's Level by 1 (until the end of this turn), and if you do, change its battle position.
You can only use this effect of ""Amaze Attraction Rapid Racing"" once per turn.",Normal,Attraction,https://images.ygoprodeck.com/images/cards/55262310.jpg,8246
285,Amaze Attraction Thrill Train,Trap Card,"Target 1 ""Amazement"" monster you control or 1 face-up monster your opponent controls; equip this card to it. You can activate the following effect, based on which player controls the equipped monster;
● You: Change the equipped monster's battle position, and if you do, your opponent chooses 1 ""Attraction"" Trap in your GY for you to Set on your field.
● Your opponent: Banish the equipped monster until the End Phase.
You can only use this effect of ""Amaze Attraction Thrill Train"" once per turn.",Normal,Attraction,https://images.ygoprodeck.com/images/cards/36591747.jpg,2459
286,Amaze Attraction Viking Vortex,Trap Card,"Target 1 ""Amazement"" monster you control or 1 face-up monster your opponent controls; equip this card to it. You can activate the following effect, based on which player controls the equipped monster;
● You: Once per turn, when an opponent's monster declares an attack: Negate the attack, and if you do, change control of the equipped monster until the end of the Battle Phase.
● Your opponent: When the equipped monster activates its effect: Return it to the hand.",Normal,Attraction,https://images.ygoprodeck.com/images/cards/97182396.jpg,11332
287,Amaze Attraction Wonder Wheel,Trap Card,"Target 1 ""Amazement"" monster you control or 1 face-up monster your opponent controls; equip this card to it. You can activate the following effect, based on which player controls the equipped monster;
● You: During the Main Phase: Place 1 card from your hand on the bottom of the Deck, then draw 1 card.
● Your opponent: Switch the equipped monster's current ATK and DEF until the end of this turn.
You can only use this effect of ""Amaze Attraction Wonder Wheel"" once per turn.",Normal,Attraction,https://images.ygoprodeck.com/images/cards/93473606.jpg,6006
293,Amazement Family Faces,Trap Card,"Target 1 monster your opponent controls equipped with your ""Attraction"" Trap(s); equip this card to it. While this card is equipped to a monster, take control of the equipped monster. While you control the equipped monster, it gains 500 ATK, you cannot activate its effects, also it is treated as an ""Amazement"" monster. You can only activate 1 ""Amazement Family Faces"" per turn.",Normal,Amazement,https://images.ygoprodeck.com/images/cards/20989253.jpg,17850
300,Amazoness Archers,Trap Card,"When an opponent's monster declares an attack, while you control an ""Amazoness"" monster: Change all monsters your opponent currently controls to face-up Attack Position (Flip Effects are not activated), they lose 500 ATK, also they must attack this turn, if able.",Normal,Amazoness,https://images.ygoprodeck.com/images/cards/67987611.jpg,46547
310,Amazoness Hall,Trap Card,"When this card is activated: You can add 1 ""Amazoness"" monster to your hand, or place 1 ""Amazoness"" Pendulum Monster in your Pendulum Zone, from your GY or face-up Extra Deck. If a monster(s) is Special Summoned to your opponent's field and you control an ""Amazoness"" Monster Card (except during the Damage Step): You can target 1 of those opponent's monsters; gain LP equal to its ATK. You can only use this effect of ""Amazoness Hall"" once per turn.",Continuous,Amazoness,https://images.ygoprodeck.com/images/cards/25396150.jpg,623
312,Amazoness Hot Spring,Trap Card,"When this card is activated: You can add 1 ""Amazoness"" monster to your hand, or place 1 ""Amazoness"" Pendulum Monster in your Pendulum Zone, from your Deck. When you take battle damage while you control an ""Amazoness"" Monster Card: You can gain LP equal to the damage you took. You can only use this effect of ""Amazoness Hot Spring"" once per turn.",Continuous,Amazoness,https://images.ygoprodeck.com/images/cards/62480168.jpg,1169
313,Amazoness Onslaught,Trap Card,"Once per turn, during the Battle Phase: You can Special Summon 1 ""Amazoness"" monster from your hand, and if you do, it gains 500 ATK until the end of this turn (even if this card leaves the field). After damage calculation, if your ""Amazoness"" monster battled an opponent's monster while this card is already face-up in your Spell & Trap Zone: You can banish that opponent's monster. If this card on the field is destroyed and sent to the GY: You can target 1 ""Amazoness"" monster in your GY; Special Summon it.",Continuous,Amazoness,https://images.ygoprodeck.com/images/cards/83407038.jpg,61343
322,Amazoness Shamanism,Trap Card,"Destroy all face-up ""Amazoness"" monsters you control. Then, you can Special Summon any number of Level 4 or lower ""Amazoness"" monsters from your Graveyard in face-up Defense Position, up to the number of monsters destroyed by this effect.",Normal,Amazoness,https://images.ygoprodeck.com/images/cards/6459419.jpg,11069
332,Amazoness Willpower,Trap Card,"Select 1 ""Amazoness"" monster in your Graveyard and Special Summon it in Attack Position. It cannot change its battle position and must attack if able. When this card is removed from the field, destroy that monster. When that monster is destroyed, destroy this card.",Continuous,Amazoness,https://images.ygoprodeck.com/images/cards/22082163.jpg,22612
336,Ambush Fangs,Trap Card,"Activate only when a face-up ""Venom"" monster you control is declared as an attack target. Negate the attack and end the Battle Phase. Then place 1 Venom Counter on the monster that attacked.",Normal,Venom,https://images.ygoprodeck.com/images/cards/77972406.jpg,27683
346,Amorphage Lysis,Trap Card,"All monsters on the field, except ""Amorphage"" monsters, lose 100 ATK and DEF for each ""Amorphage"" card on the field. If a card(s) in your Pendulum Zone is destroyed (except during the Damage Step): You can place 1 ""Amorphage"" Pendulum Monster from your Deck in your Pendulum Zone. You can only use this effect of ""Amorphage Lysis"" once per turn.",Continuous,Amorphage,https://images.ygoprodeck.com/images/cards/47598941.jpg,18023
361,An Unfortunate Report,Trap Card,Your opponent conducts their next Battle Phase twice.,Normal,,https://images.ygoprodeck.com/images/cards/19763315.jpg,15160
400,Ancient Gear Reborn,Trap Card,"Once per turn, if you control no monsters: You can target 1 ""Ancient Gear"" monster in your Graveyard; Special Summon it, and if you do, it gains 200 ATK (even if this card leaves the field). You can only control 1 ""Ancient Gear Reborn"".",Continuous,Ancient Gear,https://images.ygoprodeck.com/images/cards/47482043.jpg,92371
432,Ancient Warriors Saga - Chivalrous Path,Trap Card,"If an ""Ancient Warriors"" monster(s) would be destroyed by battle, you can send this card to the GY instead. You can only use each of the following effects of ""Ancient Warriors Saga - Chivalrous Path"" once per turn. If your opponent Special Summons a monster(s) (except during the Damage Step): You can Special Summon 1 ""Ancient Warriors Token"" (Beast-Warrior/WIND/Level 1/ATK 500/DEF 500). When a card or effect is activated that targets an ""Ancient Warriors"" monster(s) on the field: You can banish this card from your GY; negate the activation.",Continuous,Ancient Warriors,https://images.ygoprodeck.com/images/cards/82255872.jpg,7202
434,Ancient Warriors Saga - Defense of Changban,Trap Card,"If your ""Ancient Warriors"" monster battles, your opponent cannot activate any Spell/Trap Cards until the end of the Damage Step. You can only use 1 of the following effects of ""Ancient Warriors Saga - Defense of Changban"" per turn, and only once that turn.
● At the start of your opponent's Battle Phase: You can send this face-up card from your Spell & Trap Zone to the GY; monsters your opponent controls cannot target ""Ancient Warriors"" monsters for attacks this turn.
● When an opponent's monster declares an attack: You can banish this card from your GY; Special Summon 1 ""Ancient Warriors"" monster from your Deck.",Continuous,Ancient Warriors,https://images.ygoprodeck.com/images/cards/4810585.jpg,29915
438,And the Band Played On,Trap Card,Neither player can Special Summon monsters with the same Level as those they control. Neither player can Special Summon monsters with the same Rank as those they control.,Continuous,,https://images.ygoprodeck.com/images/cards/47594939.jpg,21722
443,Angel Statue - Azurune,Trap Card,"Special Summon this card as an Effect Monster (Fairy/LIGHT/Level 4/ATK 1800/DEF 1800). (This card is also still a Trap.) Once per turn, when your opponent would Special Summon a monster(s) while this card is in your Monster Zone: You can send to the GY, 1 Continuous Trap in your Monster Zone that was Special Summoned from the Spell & Trap Zone; negate the Summon, and if you do, destroy that monster(s). When this card in the Monster Zone is destroyed by battle: You can destroy the monster that destroyed this card.",Continuous,Trap Monster,https://images.ygoprodeck.com/images/cards/44822037.jpg,25389
457,Anti Raigeki,Trap Card,"When your opponent activates ""Raigeki"": Negate its effect, and if you do, destroy all monsters your opponent controls.",Normal,Anti,https://images.ygoprodeck.com/images/cards/42364257.jpg,28468
459,Anti-Fusion Device,Trap Card,Destroy 1 face-up Fusion Monster on the field.,Normal,Anti,https://images.ygoprodeck.com/images/cards/72150572.jpg,26847
461,Anti-Magic Prism,Trap Card,Activate only when your opponent activates a Quick-Play Spell Card. Select 1 card on the field and destroy it.,Normal,Anti,https://images.ygoprodeck.com/images/cards/20138923.jpg,20035
462,Anti-Spell,Trap Card,Remove 2 Spell Counters on your side of the field to negate the activation of a Spell Card and destroy it.,Counter,Anti,https://images.ygoprodeck.com/images/cards/53112492.jpg,52485
463,Anti-Spell Fragrance,Trap Card,"Both players must Set Spell Cards before activating them, and cannot activate them until their next turn after Setting them.",Continuous,Anti,https://images.ygoprodeck.com/images/cards/58921041.jpg,621229
468,Apex Predation,Trap Card,"If you control a Normal Summoned/Set monster: Destroy all Special Summoned monsters on the field. Until the end of your next turn after this card is activated, you cannot Normal Summon/Set. You can only activate 1 ""Apex Predation"" per turn.",Normal,,https://images.ygoprodeck.com/images/cards/25573115.jpg,4178
471,Apophis the Swamp Deity,Trap Card,"During the Main Phase: Special Summon this card as a Normal Monster (Reptile/EARTH/Level 6/ATK 2000/DEF 2200) (this card is also still a Trap), then you can negate the effects of face-up cards your opponent controls, up to the number of other Continuous Traps you control, until the end of this turn.",Continuous,Trap Monster,https://images.ygoprodeck.com/images/cards/85888377.jpg,3527
474,Apparition,Trap Card,"If a face-up ""HERO"" monster(s) you control is destroyed by battle or card effect: Special Summon 1 Level 4 or lower ""Vision HERO"" monster from your Deck, then you can halve the original ATK/DEF of 1 monster your opponent controls. You can only activate 1 ""Apparition"" per turn.",Normal,Vision HERO,https://images.ygoprodeck.com/images/cards/91392974.jpg,15340
476,Apple of Enlightenment,Trap Card,"Target cards in your opponent's GY, up to the number of ""Valkyrie"" monsters you control; banish them. If this Set card in its owner's control has left the field because of an opponent's effect, and is now in the GY or banished: You can draw cards equal to the number of ""Valkyrie"" monsters you control +1.",Normal,Valkyrie,https://images.ygoprodeck.com/images/cards/43341600.jpg,21166
490,Appointer of the Red Lotus,Trap Card,Pay 2000 Life Points and reveal all cards in your hand. Look at your opponent's hand and select 1 card. Remove that card from play until your opponent's next End Phase.,Normal,,https://images.ygoprodeck.com/images/cards/43262273.jpg,91642
494,Appropriate,Trap Card,"Activate only when your opponent draws a card(s) outside of either Draw Phase. After that, each time your opponent draws a card(s) outside of either Draw Phase, immediately draw 2 cards.",Continuous,,https://images.ygoprodeck.com/images/cards/48539234.jpg,144171
496,Aqua Chorus,Trap Card,"If there are monsters with the same name on the field, increase the ATK and DEF of all of those monsters with the same name by 500 points.",Continuous,,https://images.ygoprodeck.com/images/cards/95132338.jpg,13167
502,Aqua Story - Urashima,Trap Card,"If you have an ""Aquaactress"" monster in your Graveyard: Target 1 monster on the field; until the end of this turn, its effects are negated, its ATK and DEF become 100, also it is unaffected by your opponent's card effects.",Normal,Aquaactress,https://images.ygoprodeck.com/images/cards/28325165.jpg,13400
506,Aquamirror Cycle,Trap Card,"Target 1 WATER monster you control and 2 WATER monsters in your Graveyard; shuffle the first target into the Deck, and if you do, add the second targets to your hand.",Normal,,https://images.ygoprodeck.com/images/cards/78910579.jpg,24099
508,Aquamirror Illusion,Trap Card,"Special Summon 1 ""Gishki"" Ritual Monster from your hand. It cannot attack, and is returned to the hand during the End Phase.",Normal,Gishki,https://images.ygoprodeck.com/images/cards/64437633.jpg,11642
509,Aquamirror Meditation,Trap Card,"Reveal 1 Ritual Spell Card in your hand to target 2 ""Gishki"" monsters in your Graveyard; return them to the hand.",Normal,Gishki,https://images.ygoprodeck.com/images/cards/46337945.jpg,10776
516,Arcana Call,Trap Card,"Select 1 ""Arcana Force"" monster you control. Remove from play 1 ""Arcana Force"" monster from either player's Graveyard. Until the End Phase, the selected monster's effect becomes the removed monster's effect for the same coin toss result.",Normal,Arcana Force,https://images.ygoprodeck.com/images/cards/99189322.jpg,27691
556,Archfiend's Ghastly Glitch,Trap Card,"If you control a Fiend monster: Target 1 card on the field; destroy it, then, you can send 1 Fiend monster from your Deck to the GY.",Normal,Archfiend,https://images.ygoprodeck.com/images/cards/5168381.jpg,58876
559,Archfiend's Roar,Trap Card,"Pay 500 Life Points, then target 1 ""Archfiend"" monster in your Graveyard; Special Summon that target. It cannot be Tributed. Destroy it during the End Phase of this turn.",Normal,Archfiend,https://images.ygoprodeck.com/images/cards/56246017.jpg,55315
576,Armageddon Designator,Trap Card,"Banish 1 card from your hand; neither player can activate cards, or the effects of cards, with that name for the rest of this Duel.",Normal,,https://images.ygoprodeck.com/images/cards/28493337.jpg,12839
593,Armed Dragon Thunderbolt,Trap Card,"Target 1 ""Armed Dragon"" monster you control; it gains 1000 ATK for each ""Armed Dragon"" monster in your GY with an equal or lower Level than it and with different names from each other, also for the rest of this turn, your opponent takes no battle damage from its attacks. You can banish this card from your GY, then target 1 ""Armed Dragon"" Spell in your GY; add it to your hand. You can only use 1 ""Armed Dragon Thunderbolt"" effect per turn, and only once that turn.",Normal,Armed Dragon,https://images.ygoprodeck.com/images/cards/57605303.jpg,25021
605,Armor Break,Trap Card,Negate the activation of an Equip Spell Card and destroy it.,Counter,,https://images.ygoprodeck.com/images/cards/79649195.jpg,23838
610,Armor Ninjitsu Art of Freezing,Trap Card,"When an opponent's monster declares an attack, if you control a ""Ninja"" monster: You can flip this card face-up; negate that attack and end the Battle Phase. While this card is face-up on the field and you control a ""Ninja"" monster, monsters your opponent controls cannot change their battle positions.",Continuous,Ninja,https://images.ygoprodeck.com/images/cards/65150219.jpg,27025
611,Armor Ninjitsu Art of Rust Mist,Trap Card,"When a monster(s) is Special Summoned to your opponent's field, if you control a ""Ninja"" monster: Halve the current ATK of that Special Summoned monster(s).",Continuous,Ninja,https://images.ygoprodeck.com/images/cards/2148918.jpg,31189
616,Armored Glass,Trap Card,You can only activate this card when a monster is equipped with an Equip Card. Negate the effects of all Equip Cards on the field during the turn this card is activated.,Normal,,https://images.ygoprodeck.com/images/cards/36868108.jpg,61901
625,Armory Call,Trap Card,"Add 1 Equip Spell from your Deck to your hand, then you can equip it to 1 appropriate monster you control. You can only activate 1 ""Armory Call"" per turn.",Normal,,https://images.ygoprodeck.com/images/cards/38960450.jpg,76597
648,Arsenal Robber,Trap Card,Your opponent selects 1 Equip Spell Card from his/her Deck and sends it to the Graveyard.,Normal,,https://images.ygoprodeck.com/images/cards/55348096.jpg,27826
664,Artifact Sanctum,Trap Card,"Special Summon 1 ""Artifact"" monster from your Deck. You can only activate 1 ""Artifact Sanctum"" per turn. You cannot conduct your Battle Phase the turn you activate this card. If this card in its owner's possession is destroyed by an opponent's card: You can target 1 card on the field; destroy that target.",Normal,Artifact,https://images.ygoprodeck.com/images/cards/12444060.jpg,374341
677,Asleep at the Switch,Trap Card,When your opponent gains Life Points: Target 1 monster your opponent controls; destroy that target.,Normal,,https://images.ygoprodeck.com/images/cards/99657399.jpg,13687
687,Assault Counter,Trap Card,"Activate only while you control an ""/Assault Mode"" monster. Negate the activation of a Spell Card, Trap Card, or Effect Monster's effect and destroy it.",Counter,Assault Mode,https://images.ygoprodeck.com/images/cards/76407432.jpg,19737
690,Assault Mode Activate,Trap Card,"Tribute 1 Synchro Monster; Special Summon 1 ""/Assault Mode"" monster, whose name includes the Tributed monster's name, from your Deck in Attack Position.",Normal,Assault Mode,https://images.ygoprodeck.com/images/cards/80280737.jpg,149938
693,Assault Reboot,Trap Card,"Tribute 1 ""/Assault Mode"" monster; Special Summon 1 ""/Assault Mode"" monster from your Deck with a different name in Defense Position, ignoring its Summoning conditions. You can banish this card from your GY, then target any number of cards in your GY, with different names, that are ""Assault Mode Activate"" and/or specifically list ""Assault Mode Activate"" in their text, except ""Assault Reboot""; shuffle them into the Deck. You can only use each effect of ""Assault Reboot"" once per turn.",Normal,Assault Mode,https://images.ygoprodeck.com/images/cards/74431740.jpg,17776
696,Assault Slash,Trap Card,"Activate only while you control an ""/Assault Mode"" monster. Destroy all face-up monsters on the field.",Normal,Assault Mode,https://images.ygoprodeck.com/images/cards/40012727.jpg,15536
697,Assault Spirits,Trap Card,"After activation, treat this card as an Equip Card, and equip it to a monster you control. Once per turn, during the equipped monster's attack, you can send 1 monster with 1000 or less ATK from your hand to the Graveyard during the Damage Step to have the equipped monster gain the ATK of the sent monster, until the End Phase.",Normal,,https://images.ygoprodeck.com/images/cards/87043568.jpg,8583
